
Rk,Score,PtsW,PtsL,PtTot,PtDif,Count,Last Game (year-gm#)
377,31-3,31,3,34,28,36,2011-08
378,31-6,31,6,37,25,21,2012-10
379,31-7,31,7,38,24,78,2015-11
380,31-8,31,8,39,23,2,1999-14
381,31-9,31,9,40,22,9,2009-05
382,31-10,31,10,41,21,68,2015-08
383,31-12,31,12,43,19,3,2008-03
384,31-13,31,13,44,18,52,2014-14
385,31-14,31,14,45,17,88,2015-03
386,31-15,31,15,46,16,8,2014-14
387,31-16,31,16,47,15,22,2013-06
388,31-17,31,17,48,14,87,2014-17
389,31-18,31,18,49,13,4,2012-15
390,31-19,31,19,50,12,13,2015-01
391,31-20,31,20,51,11,40,2015-06
392,31-21,31,21,52,10,70,2015-06
393,31-22,31,22,53,9,8,2008-10
394,31-23,31,23,54,8,27,2015-14
395,31-24,31,24,55,7,68,2015-17
396,31-25,31,25,56,6,4,2015-11
397,31-26,31,26,57,5,13,2010-15
398,31-27,31,27,58,4,48,2013-03
399,31-28,31,28,59,3,73,2014-11
400,31-29,31,29,60,2,9,2012-06
Rk,Score,PtsW,PtsL,PtTot,PtDif,Count,Last Game (year-gm#)
401,31-30,31,30,61,1,17,2015-07
402,31-31,31,31,62,0,6,1970-06
403,32-0,32,0,32,32,10,1994-03
404,32-3,32,3,35,29,4,2011-02
405,32-6,32,6,38,26,4,1986-14
406,32-7,32,7,39,25,5,2012-10
407,32-9,32,9,41,23,1,1975-10
408,32-10,32,10,42,22,6,2006-04
409,32-13,32,13,45,19,4,2000-14
410,32-14,32,14,46,18,8,2007-11
411,32-16,32,16,48,16,2,1979-07
412,32-17,32,17,49,15,5,2015-15
413,32-18,32,18,50,14,2,2015-09
414,32-20,32,20,52,12,4,2013-06
415,32-21,32,21,53,11,5,2015-03
416,32-23,32,23,55,9,1,1988-05
417,32-24,32,24,56,8,2,1990-05
418,32-25,32,25,57,7,3,2008-19
419,32-27,32,27,59,5,1,1976-09
420,32-28,32,28,60,4,6,2013-12
421,32-29,32,29,61,3,5,2005-04
422,32-30,32,30,62,2,1,1991-10
423,32-31,32,31,63,1,6,2002-14
424,33-0,33,0,33,33,7,1988-06
425,33-3,33,3,36,30,10,2015-10
426,33-6,33,6,39,27,11,2007-07
427,33-7,33,7,40,26,18,2014-03
428,33-9,33,9,42,24,1,1973-09
429,33-10,33,10,43,23,9,2014-12
430,33-12,33,12,45,21,4,1984-05
431,33-13,33,13,46,20,11,2015-01
432,33-14,33,14,47,19,30,2015-11
433,33-15,33,15,48,18,1,2007-07
434,33-16,33,16,49,17,4,2015-14
435,33-17,33,17,50,16,24,2015-08
436,33-18,33,18,51,15,3,2000-02
437,33-19,33,19,52,14,7,2008-04
438,33-20,33,20,53,13,11,2015-13
439,33-21,33,21,54,12,13,2007-08
440,33-22,33,22,55,11,3,2007-08
441,33-23,33,23,56,10,2,2014-08
442,33-24,33,24,57,9,15,2008-15
443,33-25,33,25,58,8,4,2010-08
444,33-26,33,26,59,7,2,2011-15
445,33-27,33,27,60,6,20,2015-11
446,33-28,33,28,61,5,8,2015-01
447,33-29,33,29,62,4,1,1962-09
448,33-30,33,30,63,3,18,2015-05
449,33-31,33,31,64,2,10,2009-06
450,33-32,33,32,65,1,1,1994-10
Rk,Score,PtsW,PtsL,PtTot,PtDif,Count,Last Game (year-gm#)
451,33-33,33,33,66,0,1,1964-02
452,34-0,34,0,34,34,44,2012-14
453,34-2,34,2,36,32,1,1968-03
